complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
42,2.0190284,(((((((((x1 - x0) - (x0 + x3)) + (((x2 - (-0.3564624 - x0)) - exp(sin((-0.56703013 - sin((x0 + 0.8689965) * -2.7163787)) - x0))) * -0.11365088)) * 1.8684573) - x1) - x3) / 0.89602476) + -0.16536207) / 0.8976605) / 0.9373952,0.0007005629126557897,((-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-x0 - 0.3564624) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-2.7163787)) - 0.56703013))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952),PySRFunction(X=>((-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-x0 - 0.3564624) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-2.7163787)) - 0.56703013))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952)),1,13,((-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-x0 - 0.3564624) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-2.7163787)) - 0.56703013))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952)
44,2.0160668,(((((((((((x2 * 0.8461836) - (-0.3564624 - x0)) - exp(sin((-0.56703013 - sin((x0 + 0.8689965) * -2.7163787)) - x0))) * -0.11365088) + ((x1 - x0) - (x3 + x0))) * 1.8684573) - x1) - x3) / 0.89602476) + -0.16536207) / 0.8976605) / 0.9373952,0.0007339605102260492,((-x1 - x3 - x0 + x1 - (x0 + x3) + x2*0.8461836 - (-x0 - 0.3564624) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-2.7163787)) - 0.56703013))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952),PySRFunction(X=>((-x1 - x3 - x0 + x1 - (x0 + x3) + x2*0.8461836 - (-x0 - 0.3564624) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-2.7163787)) - 0.56703013))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952)),1,14,((-x1 - x3 - x0 + x1 - (x0 + x3) + x2*0.8461836 - (-x0 - 0.3564624) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-2.7163787)) - 0.56703013))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952)
46,2.0089579,(((((((((x1 - x0) - (x0 + x3)) + ((((x2 - (-0.3564624 - x0)) * 0.8461836) - exp(sin((-0.56703013 - sin((x0 + -2.7163787) * (x0 + 0.8689965))) - x0))) * -0.11365088)) * 1.8684573) - x1) + -0.16536207) - x3) / 0.89602476) / 0.8976605) / 0.9373952,0.0017661773334685185,(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.3564624)*0.8461836 - exp(sin(-x0 - sin((x0 - 2.7163787)*(x0 + 0.8689965)) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.3564624)*0.8461836 - exp(sin(-x0 - sin((x0 - 2.7163787)*(x0 + 0.8689965)) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,15,(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.3564624)*0.8461836 - exp(sin(-x0 - sin((x0 - 2.7163787)*(x0 + 0.8689965)) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)
48,2.0082211,(((((((((x1 - x0) - (x3 + x0)) + ((((x2 - (-0.38165328 - x0)) * 0.8461836) - exp(sin(sin(-0.42058843 - ((x0 + 0.8689965) * (x0 + (x0 - 0.41153368)))) - x0))) * -0.11365088)) * 1.8684573) - x1) - x3) / 0.89602476) + -0.16536207) / 0.8976605) / 0.9373952,0.00018341229212385414,((-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.38165328)*0.8461836 - exp(sin(-x0 + sin(-(x0 + 0.8689965)*(x0 + x0 - 1*0.41153368) - 0.42058843))))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952),PySRFunction(X=>((-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.38165328)*0.8461836 - exp(sin(-x0 + sin(-(x0 + 0.8689965)*(x0 + x0 - 1*0.41153368) - 0.42058843))))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952)),1,16,((-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.38165328)*0.8461836 - exp(sin(-x0 + sin(-(x0 + 0.8689965)*(x0 + x0 - 1*0.41153368) - 0.42058843))))*(-0.11365088)*1.8684573)/0.89602476 - 0.16536207)/(0.8976605*0.9373952)
50,2.004355,(((((-0.16536207 + (1.8684573 * (((x1 - x0) - (x3 + x0)) + (-0.11365088 * (((x2 - ((-0.36886322 + 0.012400841) - x0)) * 0.8461836) - exp(sin((-0.56703013 - sin((x0 + 0.8689965) * (-2.7163787 + (x3 * x0)))) - x0))))))) - x1) - x3) / 0.89602476) / 0.8976605) / 0.9373952,0.0009634960434350806,(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) - 0.11365088*(x2 - (-x0 - 0.36886322 + 0.012400841)*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0*x3 - 2.7163787)) - 0.56703013)))) - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) - 0.11365088*(x2 - (-x0 - 0.36886322 + 0.012400841)*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0*x3 - 2.7163787)) - 0.56703013)))) - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,17,(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) - 0.11365088*(x2 - (-x0 - 0.36886322 + 0.012400841)*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0*x3 - 2.7163787)) - 0.56703013)))) - 0.16536207)/(0.89602476*0.8976605*0.9373952)
57,2.0023177,((((((((((x2 - (-0.3820232 - x0)) * 0.8461836) - exp(sin((-0.56703013 - sin(((((-0.56703013 - x0) + (1.4889171 - sin(x3 + 1.8684573))) / -0.9567184) + -2.7163787) * (x0 + 0.8689965))) - x0))) * -0.11365088) + ((x1 - x0) - (x0 + x3))) * 1.8684573) - x1) + (-0.16536207 - x3)) / 0.8976605) / 0.8976605) / 0.9373952,0.0001452790901666511,(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.3820232)*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*((-x0 - sin(x3 + 1.8684573) - 0.56703013 + 1.4889171)/(-0.9567184) - 2.7163787)) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.8976605*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.3820232)*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*((-x0 - sin(x3 + 1.8684573) - 0.56703013 + 1.4889171)/(-0.9567184) - 2.7163787)) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.8976605*0.8976605*0.9373952)),1,18,(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.3820232)*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*((-x0 - sin(x3 + 1.8684573) - 0.56703013 + 1.4889171)/(-0.9567184) - 2.7163787)) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.8976605*0.8976605*0.9373952)
59,2.0012107,(((-0.16536207 + (((1.8684573 * (((x1 - x0) - (x0 + x3)) + ((((0.8461836 * x2) - (-0.36886322 - x0)) - exp(sin((-0.56703013 - sin(((x0 - (square(-0.7821738 + (x2 / -0.8196399)) * (x0 / x0))) - exp(sin(x3))) * (0.8689965 + x0))) - x0))) * -0.11365088))) - x1) - x3)) / 0.89602476) / 0.8976605) / 0.9373952,0.0002765061010212607,(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) + 0.8461836*x2 - (-x0 - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - exp(sin(x3)) - x0*(x2/(-0.8196399) - 0.7821738)**2/x0)) - 0.56703013))*(-0.11365088)) - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) + 0.8461836*x2 - (-x0 - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - exp(sin(x3)) - x0*(x2/(-0.8196399) - 0.7821738)**2/x0)) - 0.56703013))*(-0.11365088)) - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,19,(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) + 0.8461836*x2 - (-x0 - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - exp(sin(x3)) - x0*(x2/(-0.8196399) - 0.7821738)**2/x0)) - 0.56703013))*(-0.11365088)) - 0.16536207)/(0.89602476*0.8976605*0.9373952)
61,2.0010922,(((-0.16536207 + (((1.8684573 * (((x1 - x0) - (x0 + x3)) + ((((0.8461836 * x2) - (-0.36886322 - (x0 + -0.01340819))) - exp(sin((-0.56703013 - sin(((x0 - (square(-0.7821738 + (x2 / -0.8196399)) * (x0 / x0))) - exp(sin(x3))) * (0.8689965 + x0))) - x0))) * -0.11365088))) - x1) - x3)) / 0.89602476) / 0.8976605) / 0.9373952,2.9607953969410512e-05,(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) + 0.8461836*x2 - (-(x0 - 0.01340819) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - exp(sin(x3)) - x0*(x2/(-0.8196399) - 0.7821738)**2/x0)) - 0.56703013))*(-0.11365088)) - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) + 0.8461836*x2 - (-(x0 - 0.01340819) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - exp(sin(x3)) - x0*(x2/(-0.8196399) - 0.7821738)**2/x0)) - 0.56703013))*(-0.11365088)) - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,20,(-x1 - x3 + 1.8684573*(-x0 + x1 - (x0 + x3) + 0.8461836*x2 - (-(x0 - 0.01340819) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - exp(sin(x3)) - x0*(x2/(-0.8196399) - 0.7821738)**2/x0)) - 0.56703013))*(-0.11365088)) - 0.16536207)/(0.89602476*0.8976605*0.9373952)
67,2.0008965,(((((((((x2 - (-0.36886322 - (x0 + -0.015114982))) - exp(sin((-0.56703013 - sin((0.8689965 + x0) * ((x0 - x3) - exp(sin(((x2 - x3) - (x0 - -0.58931166)) - (((x0 + cos(x1 / x3)) + x1) + -1.2836294)))))) - x0))) * -0.11365088) + (x1 - x0)) - (x0 + x3)) * 1.8684573) + ((-0.16536207 - x1) - x3)) / 0.89602476) / 0.8976605) / 0.9373952,1.6300229279830886e-05,(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - x3 - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x0 + x1 + cos(x1/x3) - 1.2836294))))) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - x3 - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x0 + x1 + cos(x1/x3) - 1.2836294))))) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,21,(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - x3 - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x0 + x1 + cos(x1/x3) - 1.2836294))))) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)
69,1.9985641,((((((((((x2 - (-0.36886322 - (x0 + -0.015114982))) - exp(sin((-0.56703013 - sin((0.8689965 + x0) * ((0.017618896 - (x3 + x3)) - exp(sin(((x2 - x3) - (x0 - -0.58931166)) - ((cos(x0 + (x1 / x3)) + x1) + -1.2836294)))))) - x0))) * -0.11365088) + x1) - x0) - (x0 + x3)) * 1.8684573) + ((-0.16536207 - x1) - x3)) / 0.89602476) / 0.8976605) / 0.9373952,0.0005831787077523543,(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-(x3 + x3) - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x1 + cos(x0 + x1/x3) - 1.2836294))) + 0.017618896)) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-(x3 + x3) - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x1 + cos(x0 + x1/x3) - 1.2836294))) + 0.017618896)) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,22,(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(-(x3 + x3) - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x1 + cos(x0 + x1/x3) - 1.2836294))) + 0.017618896)) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)
70,1.9984146,(((((((x1 - x0) - (x0 + x3)) + (((x2 - (-0.36886322 - (x0 + -0.015114982))) - exp(sin((-0.56703013 - sin(((x0 - (x3 + x3)) - exp(sin(((x2 - ((x3 - x0) * -0.58931166)) - (x1 + -1.2836294)) - cos(cos(1.640201) + (x2 - x3))))) * (x0 + 0.8689965))) - x0))) * -0.11365088)) * 1.8684573) + ((-0.16536207 - x1) - x3)) / 0.89602476) / 0.8976605) / 0.9373952,7.480650325689968e-05,(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(sin(x2 - (-0.58931166)*(-x0 + x3) - (x1 - 1.2836294) - cos(x2 - x3 + cos(1.640201)))))) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(sin(x2 - (-0.58931166)*(-x0 + x3) - (x1 - 1.2836294) - cos(x2 - x3 + cos(1.640201)))))) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,23,(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-(x0 - 0.015114982) - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(sin(x2 - (-0.58931166)*(-x0 + x3) - (x1 - 1.2836294) - cos(x2 - x3 + cos(1.640201)))))) - 0.56703013))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)
71,1.9980308,((((((((x2 - (-0.36886322 - x0)) + (-0.015114982 - exp(sin((-0.56703013 - sin((x0 + 0.8689965) * (((x0 * x3) - (x3 + x3)) - exp(sin(((x2 - x3) - (x0 - -0.58931166)) - (((x0 + cos(x1 / x3)) + x1) + -1.2836294)))))) - x0)))) * -0.11365088) + ((x1 - x0) - (x0 + x3))) * 1.8684573) + ((-0.16536207 - x1) - x3)) / 0.89602476) / 0.8976605) / 0.9373952,0.00019207068420352898,(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-x0 - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0*x3 - (x3 + x3) - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x0 + x1 + cos(x1/x3) - 1.2836294))))) - 0.56703013)) - 0.015114982*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-x0 - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0*x3 - (x3 + x3) - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x0 + x1 + cos(x1/x3) - 1.2836294))))) - 0.56703013)) - 0.015114982*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,24,(-x1 - x3 - x0 + x1 - (x0 + x3) + x2 - (-x0 - 0.36886322) - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0*x3 - (x3 + x3) - exp(sin(x2 - x3 - (x0 - 1*(-0.58931166)) - (x0 + x1 + cos(x1/x3) - 1.2836294))))) - 0.56703013)) - 0.015114982*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)
75,1.9974631,(((((((((x1 - x0) - (x0 + x3)) + (((((x2 - (-0.36886322 - x0)) + -0.012790049) * 0.8461836) - exp(sin((-0.56703013 - sin((0.8689965 + x0) * ((x0 - (x3 + x3)) - exp(((x2 - x0) - (x3 + (square(x3) * (0.56720746 - (-0.36886322 / x0))))) - sin(((x1 - x3) + -0.56703013) - x0))))) - x0))) * -0.11365088)) * 1.8684573) - x1) - x3) + -0.16536207) / 0.89602476) / 0.8976605) / 0.9373952,7.10425316655148e-05,(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.36886322) - 0.012790049*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(-x0 + x2 - (x3**2*(0.56720746 - (-1)*0.36886322/x0) + x3) - sin(-x0 + x1 - x3 - 0.56703013)))) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.36886322) - 0.012790049*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(-x0 + x2 - (x3**2*(0.56720746 - (-1)*0.36886322/x0) + x3) - sin(-x0 + x1 - x3 - 0.56703013)))) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,25,(-x1 - x3 - x0 + x1 - (x0 + x3) + (x2 - (-x0 - 0.36886322) - 0.012790049*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(-x0 + x2 - (x3**2*(0.56720746 - (-1)*0.36886322/x0) + x3) - sin(-x0 + x1 - x3 - 0.56703013)))) - 0.56703013)))*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)
78,1.9973823,(((((((((x1 - x0) - (x0 + x3)) + (-0.11365088 * ((((x2 - (-0.36886322 - x0)) + -0.012790049) * 0.8461836) - exp(sin((-0.56703013 - sin((0.8689965 + x0) * ((x0 - (x3 + x3)) - exp(sin(((x2 - x0) - (x3 + (square(x3) * (0.56720746 - (-0.36886322 / x0))))) - ((cos(1.5619384) + ((x1 - x3) + -0.56703013)) - x0)))))) - x0))))) * 1.8684573) - x1) - x3) + -0.16536207) / 0.89602476) / 0.8976605) / 0.9373952,1.3484042880380287e-05,(-x1 - x3 - x0 + x1 - (x0 + x3) - 0.11365088*(x2 - (-x0 - 0.36886322) - 0.012790049*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(sin(-x0 + x2 - (x3**2*(0.56720746 - (-1)*0.36886322/x0) + x3) - (-x0 + x1 - x3 - 0.56703013 + cos(1.5619384)))))) - 0.56703013)))*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) - 0.11365088*(x2 - (-x0 - 0.36886322) - 0.012790049*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(sin(-x0 + x2 - (x3**2*(0.56720746 - (-1)*0.36886322/x0) + x3) - (-x0 + x1 - x3 - 0.56703013 + cos(1.5619384)))))) - 0.56703013)))*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,26,(-x1 - x3 - x0 + x1 - (x0 + x3) - 0.11365088*(x2 - (-x0 - 0.36886322) - 0.012790049*0.8461836 - exp(sin(-x0 - sin((x0 + 0.8689965)*(x0 - (x3 + x3) - exp(sin(-x0 + x2 - (x3**2*(0.56720746 - (-1)*0.36886322/x0) + x3) - (-x0 + x1 - x3 - 0.56703013 + cos(1.5619384)))))) - 0.56703013)))*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)
